ID | Type | Date | Username | Marks | Time
132 | weekly | 2026-03-27 | priya | 2 | 1
131 | monthly | 2026-03-27 | priya | 4 | 15
130 | weekly | 2026-03-27 | priya | 2 | 1
129 | daily | 2026-03-27 | priya | 0 | 3
128 | daily | 2026-03-26 | priya | 0 | 3
127 | daily | 2026-03-26 | priya | 0 | 0
126 | daily | 2026-03-26 | priya | 0 | 0
125 | daily | 2026-03-26 | priya | 0 | 0
124 | weekly | 2026-03-26 | priya | 0 | 1
123 | weekly | 2026-03-26 | priya | 0 | 1
122 | daily | 2026-03-26 | priya | 20 | 0
121 | weekly | 2026-03-26 | priya | 2 | 2
120 | daily | 2026-03-26 | priya | 2 | 0
119 | monthly | 2026-03-26 | priya | 4 | 5
118 | weekly | 2026-03-26 | priya | 2 | 4
117 | weekly | 2026-03-26 | priya | 0 | 4
116 | weekly | 2026-03-26 | priya | 2 | 41
115 | daily | 2026-03-26 | test_student | 20 | 300
114 | weekly | 2026-03-26 | admin123 | 2 | 2
113 | daily | 2026-03-26 | admin123 | 0 | 0
112 | monthly | 2026-03-26 | admin123 | 4 | 5
111 | weekly | 2026-03-26 | admin123 | 2 | 3
110 | weekly | 2026-03-26 | admin123 | 2 | 54
109 | daily | 2026-03-26 | admin123 | 0 | 0
108 | daily | 2026-03-26 | admin123 | 0 | 0
107 | weekly | 2026-03-26 | admin123 | 0 | 0
106 | weekly | 2026-03-26 | admin123 | 0 | 0
105 | weekly | 2026-03-26 | admin123 | 0 | 0
104 | weekly | 2026-03-26 | admin123 | 0 | 0
103 | weekly | 2026-03-26 | admin123 | 0 | 0
102 | weekly | 2026-03-26 | admin123 | 0 | 0
101 | weekly | 2026-03-26 | admin123 | 0 | 13
100 | weekly | 2026-03-26 | admin123 | 0 | 0
99 | weekly | 2026-03-26 | admin123 | 0 | 0
98 | weekly | 2026-03-26 | admin123 | 0 | 0
97 | weekly | 2026-03-26 | admin123 | 0 | 0
96 | weekly | 2026-03-26 | admin123 | 0 | 0
95 | weekly | 2026-03-26 | admin123 | 0 | 0
94 | weekly | 2026-03-26 | admin123 | 2 | 21
93 | weekly | 2026-03-26 | admin123 | 0 | 60
92 | weekly | 2026-03-26 | admin123 | 0 | 60
91 | daily | 2026-03-26 | admin123 | 0 | 0
90 | weekly | 2026-03-26 | admin123 | 0 | 45
89 | weekly | 2026-03-26 | admin123 | 2 | 15
88 | weekly | 2026-03-26 | admin123 | 4 | 36
87 | weekly | 2026-03-26 | admin123 | 2 | 53
86 | weekly | 2026-03-26 | admin123 | 0 | 10
85 | weekly | 2026-03-26 | admin123 | 2 | 16
84 | weekly | 2026-03-26 | admin123 | 2 | 18
83 | weekly | 2026-03-26 | admin123 | 0 | 4
